title,movieId,userId
"March of the Penguins (Marche de l'empereur, La) (2005)",34072,10
Super Size Me (2004),8464,10
"Punisher, The (2004)",7439,10
"Good bye, Lenin! (2003)",7323,10
Spellbound (2002),6331,10
Hanna (2011),86190,11
"Bourne Ultimatum, The (2007)",54286,11
"Lives of Others, The (Das leben der Anderen) (2006)",44555,11
Legally Blonde (2001),4447,11
"Polar Express, The (2004)",8965,11
Once Upon a Time in Mexico (2003),6709,11
Dragonheart (1996),653,11
Mimic (1997),1603,11
Star Trek V: The Final Frontier (1989),1373,11
101 Dalmatians (1996),1367,11
Courage Under Fire (1996),647,11
Horrible Bosses (2011),87869,12
Tucker & Dale vs Evil (2010),83134,12
127 Hours (2010),81562,12
Gran Torino (2008),64614,12
WALL·E (2008),60069,12
Quantum of Solace (2008),63113,12
Milk (2008),63876,12
"Bourne Ultimatum, The (2007)",54286,12
Jumper (2008),58025,12
There Will Be Blood (2007),56782,12
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),48385,12
Mission: Impossible - Ghost Protocol (2011),91630,13
"10,000 BC (2008)",58293,13
The Queen (2006),47629,13
Kung Fu Hustle (Gong fu) (2004),31878,13
Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),7099,13
Captain America: The Winter Soldier (2014),110102,13
Hanna (2011),86190,13
Money Train (1995),20,13
"Brothers McMullen, The (1995)",144,13
"Fighter, The (2010)",81932,13
Sphere (1998),1779,13
Rango (2011),84944,14
"Social Network, The (2010)",80463,14
"A-Team, The (2010)",78469,14
Get Smart (2008),60126,14
Pineapple Express (2008),61024,14
"Dark Knight, The (2008)",58559,14
Step Brothers (2008),60756,14
"Darjeeling Limited, The (2007)",55269,14
No Country for Old Men (2007),55820,14
Shrek the Third (2007),53121,14
Shooter (2007),51935,14
Horrible Bosses (2011),87869,15
"Illusionist, The (2006)",47610,15
S.W.A.T. (2003),6595,15
"Officer and a Gentleman, An (1982)",4041,15
"Edge, The (1997)",1615,15
"Simpsons Movie, The (2007)",54272,15
Harry Potter and the Prisoner of Azkaban (2004),8368,15
About a Boy (2002),5377,15
Rush Hour 2 (2001),4701,15
Yes Man (2008),64969,15
Traffic (2000),4034,15
Up Close and Personal (1996),140,16
Money Train (1995),20,16
Apocalypto (2006),48304,16
M*A*S*H (a.k.a. MASH) (1970),5060,16
Hotel Rwanda (2004),30749,16
Shark Tale (2004),8907,16
Roxanne (1987),8623,16
Night at the Museum (2006),46972,16
All the President's Men (1976),6787,16
Saving Silverman (Evil Woman) (2001),4149,16
Trading Places (1983),3039,16
"Adventures of Tintin, The (2011)",90746,17
"I Love You, Man (2009)",67087,17
Bewitched (2005),33836,17
Little Miss Sunshine (2006),46578,17
Moulin Rouge (2001),4308,17
"Hitchhiker's Guide to the Galaxy, The (2005)",33004,17
Enchanted (2007),56152,17
Hulk (2003),6534,17
"Illusionist, The (2006)",47610,17
"Chorus, The (Choristes, Les) (2004)",27815,17
"Lives of Others, The (Das leben der Anderen) (2006)",44555,17
Flightplan (2005),37727,18
American Splendor (2003),6620,18
Maid in Manhattan (2002),5943,18
"Legend of Bagger Vance, The (2000)",3978,18
"Man with the Golden Gun, The (1974)",3639,18
Casino (1995),16,18
So I Married an Axe Murderer (1993),543,18
"Bourne Supremacy, The (2004)",8665,18
Underworld (2003),6754,18
Ong-Bak: The Thai Warrior (Ong Bak) (2003),27801,18
Bowling for Columbine (2002),5669,18
Stir of Echoes (1999),2841,19
Doctor Dolittle (1967),2135,19
Shaun of the Dead (2004),8874,19
Father of the Bride (1950),934,19
The Scorpion King (2002),5313,19
You Only Live Twice (1967),7569,19
"Naked Gun 2 1/2: The Smell of Fear, The (1991)",3869,19
"I, Robot (2004)",8644,19
Lilo & Stitch (2002),5444,19
"Astronaut's Wife, The (1999)",2827,19
"Village, The (2004)",8783,19
Cloudy with a Chance of Meatballs (2009),71264,20
Mamma Mia! (2008),60397,20
How to Train Your Dragon (2010),76093,20
Harold and Kumar Go to White Castle (2004),8807,20
Where the Wild Things Are (2009),71745,20
"Hitchhiker's Guide to the Galaxy, The (2005)",33004,20
13 Going on 30 (2004),7444,20
Matchstick Men (2003),6708,20
Bad Boys II (2003),6548,20
"Sum of All Fears, The (2002)",5400,20
Holes (2003),6297,20
Dinosaur (2000),3615,21
Real Genius (1985),1297,21
Bulletproof Monk (2003),6294,21
Forever Young (1992),3269,21
"40-Year-Old Virgin, The (2005)",35836,21
From Hell (2001),4865,21
"Animal, The (2001)",4340,21
Star Trek: First Contact (1996),1356,21
Hedwig and the Angry Inch (2000),4642,21
"Odd Couple, The (1968)",3507,21
My Blue Heaven (1990),2249,21
Hanna (2011),86190,22
"King's Speech, The (2010)",81845,22
Hotel Transylvania (2012),97225,22
District 9 (2009),70286,22
Thor (2011),86332,22
Bridesmaids (2011),86833,22
Inception (2010),79132,22
"Expendables, The (2010)",79695,22
"Blind Side, The  (2009)",72641,22
Coraline (2009),66097,22
Bolt (2008),63859,22
"Illusionist, The (2006)",47610,23
Old Boy (2003),27773,23
Collateral (2004),8798,23
"Stepford Wives, The (2004)",8373,23
Matchstick Men (2003),6708,23
"Dark Knight Rises, The (2012)",91529,23
"Lost Boys, The (1987)",4128,23
"Chronicles of Narnia: Prince Caspian, The (2008)",59501,23
Robin Hood (1973),3034,23
Ace Ventura: When Nature Calls (1995),19,23
Flirting With Disaster (1996),125,23
Grave of the Fireflies (Hotaru no haka) (1988),5690,24
Taken (2008),59369,24
Maverick (1994),368,24
Up Close and Personal (1996),140,24
Ace Ventura: When Nature Calls (1995),19,24
Jack Reacher (2012),99112,24
Proof of Life (2000),3998,24
"Das Experiment (Experiment, The) (2001)",5608,24
"Descendants, The (2011)",91077,24
Argo (2012),97304,24
"Bank Job, The (2008)",58295,24
Bill & Ted's Excellent Adventure (1989),4571,25
Scream 2 (1997),1717,25
Mission: Impossible - Rogue Nation (2015),111781,25
Harry Potter and the Deathly Hallows: Part 2 (2011),88125,25
District 9 (2009),70286,25
Juno (2007),56367,25
"Illusionist, The (2006)",47610,25
Stardust (2007),54259,25
"Punisher, The (2004)",7439,25
John Wick (2014),115149,25
American Sniper (2014),114662,25
8 Mile (2002),5810,26
I Am Legend (2007),56174,26
Inside Man (2006),44199,26
Mr. & Mrs. Smith (2005),33679,26
Waiting... (2005),37384,26
Saved! (2004),8366,26
"Princess Diaries, The (2001)",4700,26
Sister Act 2: Back in the Habit (1993),3248,26
Deliverance (1972),2871,26
National Lampoon's Vacation (1983),2795,26
"Devil's Own, The (1997)",1488,26
Constantine (2005),31696,27
Rudy (1993),524,27
Pitch Perfect (2012),96588,27
Sherlock Holmes: A Game of Shadows (2011),91542,27
Road Trip (2000),3617,27
Grindhouse (2007),52281,27
First Blood (Rambo: First Blood) (1982),2403,27
Easy A (2010),80549,27
Moneyball (2011),89492,27
Idiocracy (2006),47997,27
Johnny English (2003),6550,27
"Brotherhood of the Wolf (Pacte des loups, Le) (2001)",5026,28
Serendipity (2001),4823,28
Before Sunset (2004),8638,28
Fantastic Four (2005),34150,28
"Ninth Gate, The (1999)",3355,28
Gone in 60 Seconds (2000),3717,28
Secret Window (2004),7347,28
Children of a Lesser God (1986),2312,28
Paycheck (2003),7163,28
Training Day (2001),4776,28
Evil Dead II (Dead by Dawn) (1987),1261,28
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",41566,29
Cloud Atlas (2012),97752,29
"Book of Eli, The (2010)",73321,29
The Lego Movie (2014),108932,29
Letters from Iwo Jima (2006),50068,29
"Station Agent, The (2003)",6867,29
In Bruges (2008),57669,29
Twins (1988),4558,29
Kindergarten Cop (1990),7004,29
Beethoven (1992),6793,29
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",6383,29
Godzilla (2014),111364,30
X-Men: Days of Future Past (2014),111362,30
A Million Ways to Die in the West (2014),111743,30
Maleficent (2014),111659,30
Mission: Impossible - Rogue Nation (2015),111781,30
"Maze Runner, The (2014)",114180,30
Neighbors (2014),111113,30
Lucy (2014),111360,30
"Wolverine, The (2013)",103772,30
Zodiac (2007),51540,30
"Aviator, The (2004)",30812,30
Gangs of New York (2002),5956,31
"Lion King, The (1994)",364,31
Saw (2004),8957,31
"Shadow, The (1994)",533,31
Boyhood (2014),112290,31
Antz (1998),2294,31
Her (2013),106920,31
Waiting... (2005),37384,31
What Dreams May Come (1998),2297,31
Born on the Fourth of July (1989),4008,31
Blade: Trinity (2004),8985,31
Double Indemnity (1944),3435,32
Crash (1996),1483,32
Casino (1995),16,32
"Juror, The (1996)",79,32
Cloudy with a Chance of Meatballs (2009),71264,32
Bedtime Stories (2008),65088,32
Inglourious Basterds (2009),68157,32
Hairspray (2007),52975,32
Shoot 'Em Up (2007),54999,32
Planet Terror (2007),54995,32
"Bourne Ultimatum, The (2007)",54286,32
Dr. Horrible's Sing-Along Blog (2008),66934,33
RocknRolla (2008),62849,33
Watchmen (2009),60684,33
Meet the Robinsons (2007),52287,33
Fracture (2007),52604,33
Knocked Up (2007),52973,33
Happy Feet (2006),49274,33
V for Vendetta (2006),44191,33
Stranger than Fiction (2006),46976,33
Superman Returns (2006),46530,33
Munich (2005),41997,33
Grave of the Fireflies (Hotaru no haka) (1988),5690,34
Jack Reacher (2012),99112,34
Born on the Fourth of July (1989),4008,34
Prisoners (2013),104879,34
American Hustle (2013),106916,34
Under Siege (1992),1385,34
Letters from Iwo Jima (2006),50068,34
Maverick (1994),368,34
Hancock (2008),60074,34
Before Sunset (2004),8638,34
Maid in Manhattan (2002),5943,34
Moneyball (2011),89492,35
Hanna (2011),86190,35
Tucker & Dale vs Evil (2010),83134,35
Yes Man (2008),64969,35
Marley & Me (2008),65230,35
Tropic Thunder (2008),61132,35
Coraline (2009),66097,35
Into the Wild (2007),55247,35
Baby Mama (2008),59258,35
"10,000 BC (2008)",58293,35
Casino Royale (2006),49272,35
21 Grams (2003),6953,36
Moonrise Kingdom (2012),94959,36
Money Train (1995),20,36
"Brothers McMullen, The (1995)",144,36
Flatliners (1990),3686,36
"Replacement Killers, The (1998)",1769,36
"Darjeeling Limited, The (2007)",55269,36
How the Grinch Stole Christmas! (1966),52435,36
Catch Me If You Can (2002),5989,36
From Here to Eternity (1953),1944,36
From Hell (2001),4865,36
Avatar (2009),72998,37
Bend It Like Beckham (2002),6218,37
8 Mile (2002),5810,37
Bad Boys (1995),145,37
Money Train (1995),20,37
Into the Wild (2007),55247,37
A Million Ways to Die in the West (2014),111743,37
X-Men: First Class (2011),87232,37
Frida (2002),5791,37
Spy Game (2001),4901,37
"Darjeeling Limited, The (2007)",55269,37
Date Night (2010),76293,38
Transformers: Revenge of the Fallen (2009),69526,38
Cloudy with a Chance of Meatballs (2009),71264,38
There Will Be Blood (2007),56782,38
Sweeney Todd: The Demon Barber of Fleet Street (2007),56757,38
"King of Kong, The (2007)",54881,38
I Am Legend (2007),56174,38
Hairspray (2007),52975,38
"Departed, The (2006)",48516,38
Meet the Robinsons (2007),52287,38
Memoirs of a Geisha (2005),41571,38
Cloud Atlas (2012),97752,39
"Girl with the Dragon Tattoo, The (2011)",91658,39
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4973,39
"Constant Gardener, The (2005)",36517,39
Terminator Salvation (2009),68791,39
Man of Steel (2013),103042,39
Bridesmaids (2011),86833,39
"Inconvenient Truth, An (2006)",45950,39
Kung Fu Hustle (Gong fu) (2004),31878,39
Baby Mama (2008),59258,39
Finding Nemo (2003),6377,39
X-Men: First Class (2011),87232,40
Warrior (2011),89774,40
Kick-Ass (2010),76251,40
"Ugly Truth, The (2009)",70183,40
Star Trek (2009),68358,40
"Proposal, The (2009)",69406,40
Gone Baby Gone (2007),55290,40
1408 (2007),53953,40
28 Weeks Later (2007),53000,40
Click (2006),45672,40
Battlestar Galactica (2003),27611,40
30 Days of Night (2007),55282,41
Atonement (2007),55052,41
National Treasure: Book of Secrets (2007),56775,41
Eastern Promises (2007),55118,41
Over the Hedge (2006),45431,41
Snakes on a Plane (2006),46965,41
Wedding Crashers (2005),34162,41
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)",46335,41
Hard Candy (2005),44974,41
Roxanne (1987),8623,41
Troy (2004),7458,41
Nixon (1995),14,42
Things to Do in Denver When You're Dead (1995),81,42
Lucky Number Slevin (2006),44665,42
Match Point (2005),41285,42
Constantine (2005),31696,42
City of God (Cidade de Deus) (2002),6016,42
Saw (2004),8957,42
Finding Neverland (2004),8970,42
Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),26776,42
Boyz N the Hood (1991),6796,42
"Witches of Eastwick, The (1987)",7046,42
Panic Room (2002),5266,43
No Strings Attached (2011),84374,43
Hotel Transylvania (2012),97225,43
Finding Neverland (2004),8970,43
Ultraviolet (2006),43928,43
Battlestar Galactica (2003),27611,43
I Now Pronounce You Chuck and Larry (2007),54004,43
Nixon (1995),14,43
Black Sheep (1996),88,43
District 9 (2009),70286,43
Lost Highway (1997),1464,43
Chocolat (2000),4014,44
Dawn of the Planet of the Apes (2014),112623,44
Battlestar Galactica (2003),27611,44
Hot Shots! (1991),5541,44
Anger Management (2003),6287,44
Payback (1999),2490,44
"Hurt Locker, The (2008)",69481,44
Catch Me If You Can (2002),5989,44
Divergent (2014),108190,44
Equilibrium (2002),5903,44
"Jungle Book, The (1994)",362,44
Saw II (2005),39446,45
Casino Royale (2006),49272,45
Talladega Nights: The Ballad of Ricky Bobby (2006),46970,45
8 Mile (2002),5810,45
Monster's Ball (2001),5015,45
"Lives of Others, The (Das leben der Anderen) (2006)",44555,45
Walk the Line (2005),40819,45
Hitch (2005),31685,45
Bridget Jones: The Edge of Reason (2004),8969,45
The Machinist (2004),8950,45
Kiki's Delivery Service (Majo no takkyûbin) (1989),26662,45
Signs (2002),5502,46
"Proposal, The (2009)",69406,46
Four Rooms (1995),18,46
Rumble in the Bronx (Hont faan kui) (1995),112,46
Adaptation (2002),5902,46
Dallas Buyers Club (2013),106100,46
"Princess Diaries, The (2001)",4700,46
Stardust (2007),54259,46
Brokeback Mountain (2005),39183,46
"King's Speech, The (2010)",81845,46
Hotel Rwanda (2004),30749,46
Rise of the Planet of the Apes (2011),88744,47
"Other Guys, The (2010)",79592,47
True Grit (2010),82459,47
Star Trek (2009),68358,47
Terminator Salvation (2009),68791,47
Burn After Reading (2008),61323,47
1408 (2007),53953,47
Sicko (2007),53894,47
"Island, The (2005)",34319,47
13 Going on 30 (2004),7444,47
"Passion of the Christ, The (2004)",7318,47
The Amazing Spider-Man 2 (2014),110553,48
Let the Right One In (Låt den rätte komma in) (2008),61240,48
Divergent (2014),108190,48
Lemony Snicket's A Series of Unfortunate Events (2004),27706,48
Rango (2011),84944,48
"Ladykillers, The (2004)",7367,48
"Animal, The (2001)",4340,48
Stardust (2007),54259,48
"Da Vinci Code, The (2006)",45447,48
Paycheck (2003),7163,48
Speed 2: Cruise Control (1997),1556,48
About Time (2013),104374,49
Hanna (2011),86190,49
22 Jump Street (2014),112138,49
(500) Days of Summer (2009),69757,49
Drive (2011),88129,49
Enchanted (2007),56152,49
"Incredibles, The (2004)",8961,49
Rise of the Guardians (2012),98243,49
Jackass: The Movie (2002),5785,49
"Pursuit of Happyness, The (2006)",47099,49
"Manchurian Candidate, The (2004)",8781,49
Harry Potter and the Half-Blood Prince (2009),69844,50
"History of Violence, A (2005)",37733,50
Megamind (2010),81564,50
Air Force One (1997),1608,50
"King's Speech, The (2010)",81845,50
"Incredible Hulk, The (2008)",60040,50
Kung Fu Hustle (Gong fu) (2004),31878,50
28 Weeks Later (2007),53000,50
Underworld: Evolution (2006),42738,50
"Mummy, The (1999)",2617,50
Milk (2008),63876,50
Sense and Sensibility (1995),17,51
Braveheart (1995),110,51
Pirates of the Caribbean: At World's End (2007),53125,51
"Bourne Ultimatum, The (2007)",54286,51
"Pursuit of Happyness, The (2006)",47099,51
Underworld: Evolution (2006),42738,51
Inside Man (2006),44199,51
Silent Hill (2006),45081,51
Ocean's Twelve (2004),8984,51
Harold and Kumar Go to White Castle (2004),8807,51
Anchorman: The Legend of Ron Burgundy (2004),8641,51
The Artist (2011),89904,52
Moon (2009),68237,52
"Professional, The (Le professionnel) (1981)",5782,52
"Last King of Scotland, The (2006)",48738,52
Along Came Polly (2004),7173,52
Sherlock Holmes (2009),73017,52
Jack (1996),765,52
Thank You for Smoking (2006),44195,52
Hotel Rwanda (2004),30749,52
"History of Violence, A (2005)",37733,52
Star Trek (2009),68358,52
50/50 (2011),89864,53
Pirates of the Caribbean: On Stranger Tides (2011),86880,53
No Strings Attached (2011),84374,53
"I Love You, Man (2009)",67087,53
Marley & Me (2008),65230,53
He's Just Not That Into You (2009),66203,53
Body of Lies (2008),62374,53
30 Days of Night (2007),55282,53
"Fall, The (2006)",59387,53
21 (2008),58803,53
"Bourne Ultimatum, The (2007)",54286,53
"Simpsons Movie, The (2007)",54272,54
Red Dragon (2002),5630,54
Rumble in the Bronx (Hont faan kui) (1995),112,54
Four Rooms (1995),18,54
"Shadow, The (1994)",533,54
Big Trouble in Little China (1986),3740,54
Dead Man Walking (1995),36,54
Dark City (1998),1748,54
Outbreak (1995),292,54
"Secret Life of Walter Mitty, The (2013)",106918,54
Michael Clayton (2007),55276,54
Money Train (1995),20,55
Bad Boys (1995),145,55
No Country for Old Men (2007),55820,55
V for Vendetta (2006),44191,55
Cinderella Man (2005),33660,55
Family Guy Presents Stewie Griffin: The Untold Story (2005),36708,55
Harry Potter and the Prisoner of Azkaban (2004),8368,55
Dawn of the Dead (2004),7360,55
Rush Hour 2 (2001),4701,55
"Pelican Brief, The (1993)",2803,55
Phantasm (1979),2901,55
Rumble in the Bronx (Hont faan kui) (1995),112,56
Sense and Sensibility (1995),17,56
Angels & Demons (2009),68554,56
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),5459,56
Transformers (2007),53996,56
"History of Violence, A (2005)",37733,56
Harry Potter and the Chamber of Secrets (2002),5816,56
Robots (2005),32031,56
"Chorus, The (Choristes, Les) (2004)",27815,56
EuroTrip (2004),7317,56
"Crazy, Stupid, Love. (2011)",88163,56
Far and Away (1992),3259,57
Transporter 2 (2005),36519,57
Heartbreak Ridge (1986),2476,57
13 Going on 30 (2004),7444,57
Monty Python's The Meaning of Life (1983),6807,57
Lilo & Stitch (2002),5444,57
Wallace & Gromit in The Curse of the Were-Rabbit (2005),38038,57
Uncle Buck (1989),4679,57
Road Trip (2000),3617,57
Ice Age 2: The Meltdown (2006),44022,57
Sister Act (1992),3247,57
Angels & Demons (2009),68554,58
Gran Torino (2008),64614,58
Zack and Miri Make a Porno (2008),62434,58
Fantastic Four: Rise of the Silver Surfer (2007),53464,58
Ghost Rider (2007),51077,58
Sicko (2007),53894,58
Shrek the Third (2007),53121,58
Crank (2006),47200,58
Hard Candy (2005),44974,58
"Science of Sleep, The (La science des rêves) (2006)",48082,58
Bridesmaids (2011),86833,58
Fantastic Four (2005),34150,59
Captain Phillips (2013),105504,59
Planet Terror (2007),54995,59
Toy Story 3 (2010),78499,59
Spy Kids (2001),4232,59
"Number 23, The (2007)",51086,59
Family Guy Presents Stewie Griffin: The Untold Story (2005),36708,59
Super Size Me (2004),8464,59
"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",8370,59
Spellbound (2002),6331,59
Love Actually (2003),6942,59
Guardians of the Galaxy 2 (2017),122918,60
"Secret Life of Walter Mitty, The (2013)",106918,60
American Hustle (2013),106916,60
Iron Man 3 (2013),102125,60
Django Unchained (2012),99114,60
"Amazing Spider-Man, The (2012)",95510,60
Sucker Punch (2011),85510,60
"Adjustment Bureau, The (2011)",84954,60
Paul (2011),84772,60
Avatar (2009),72998,60
Iron Man 2 (2010),77561,60
Superbad (2007),54503,61
Jarhead (2005),40278,61
Cinderella Man (2005),33660,61
"Aviator, The (2004)",30812,61
"Ladykillers, The (2004)",7367,61
Major League (1989),4623,61
Encino Man (1992),3243,61
12 Years a Slave (2013),105844,61
Monty Python's And Now for Something Completely Different (1971),2788,61
Yellow Submarine (1968),2857,61
Mrs. Doubtfire (1993),500,61
Into the Wild (2007),55247,62
Hitch (2005),31685,62
Before Sunset (2004),8638,62
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),6283,62
"O Brother, Where Art Thou? (2000)",4027,62
"Magnificent Seven, The (1960)",4327,62
Mimic (1997),1603,62
Thank You for Smoking (2006),44195,62
Old Boy (2003),27773,62
Saw III (2006),48877,62
Thinner (1996),742,62
Baby Mama (2008),59258,63
Underworld: Evolution (2006),42738,63
I Heart Huckabees (2004),8910,63
You Don't Mess with the Zohan (2008),59900,63
Final Fantasy: The Spirits Within (2001),4446,63
Quantum of Solace (2008),63113,63
"Chronicles of Narnia: Prince Caspian, The (2008)",59501,63
"Virgin Suicides, The (1999)",3556,63
Four Rooms (1995),18,63
Taxi Driver (1976),111,63
Remember the Titans (2000),3916,63
Dogville (2003),7371,64
"Day After Tomorrow, The (2004)",8361,64
"Station Agent, The (2003)",6867,64
Terminator 3: Rise of the Machines (2003),6537,64
Dumb and Dumberer: When Harry Met Lloyd (2003),6482,64
Seabiscuit (2003),6565,64
40 Days and 40 Nights (2002),5151,64
"Bourne Identity, The (2002)",5418,64
"Walk to Remember, A (2002)",5066,64
Short Circuit (1986),4545,64
Bedazzled (2000),3968,64
"Golden Compass, The (2007)",56171,65
"Benchwarmers, The (2006)",44840,65
Capote (2005),37741,65
Fantastic Four (2005),34150,65
"Bourne Legacy, The (2012)",91535,65
From Hell (2001),4865,65
White Men Can't Jump (1992),3263,65
Stir of Echoes (1999),2841,65
Baby Mama (2008),59258,65
"Last King of Scotland, The (2006)",48738,65
Contact (1997),1584,65
"Bridges of Madison County, The (1995)",105,66
Casino (1995),16,66
Live Free or Die Hard (2007),53972,66
Sunshine (2007),52328,66
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)",46335,66
Walk the Line (2005),40819,66
Thank You for Smoking (2006),44195,66
Munich (2005),41997,66
Evolution (2001),4343,66
Zodiac (2007),51540,66
Ray (2004),8958,66
Maleficent (2014),111659,67
The Amazing Spider-Man 2 (2014),110553,67
"Serious Man, A (2009)",71464,67
The Lego Movie (2014),108932,67
The Hunger Games: Mockingjay - Part 1 (2014),116823,67
"Mist, The (2007)",56145,67
Source Code (2011),85414,67
How to Lose a Guy in 10 Days (2003),6155,67
Planet Terror (2007),54995,67
Click (2006),45672,67
The Butterfly Effect (2004),7254,67
Heat (1995),6,68
Pocahontas (1995),48,68
Dr. No (1962),2949,68
"Cider House Rules, The (1999)",3148,68
"Elephant Man, The (1980)",2313,68
Monty Python's And Now for Something Completely Different (1971),2788,68
"Sixth Sense, The (1999)",2762,68
8MM (1999),2505,68
Idle Hands (1999),2606,68
Superman II (1980),2641,68
eXistenZ (1999),2600,68
Ender's Game (2013),106002,69
Black Swan (2010),81591,69
Pirates of the Caribbean: At World's End (2007),53125,69
V for Vendetta (2006),44191,69
Hannah and Her Sisters (1986),6993,69
Salt (2010),79293,69
Bolt (2008),63859,69
Spider-Man (2002),5349,69
Seven Psychopaths (2012),97306,69
Natural Born Killers (1994),288,69
The Devil's Advocate (1997),1645,69
Short Circuit (1986),4545,70
Waking Life (2001),4873,70
"Time Machine, The (2002)",5171,70
"Ring, The (2002)",5679,70
Starman (1984),3699,70
Mad Max (1979),3702,70
"Ninth Gate, The (1999)",3355,70
Nutty Professor II: The Klumps (2000),3821,70
"Perfect Storm, The (2000)",3755,70
Space Cowboys (2000),3827,70
"Running Man, The (1987)",3698,70
Anchorman 2: The Legend Continues (2013),107348,71
No Strings Attached (2011),84374,71
I Now Pronounce You Chuck and Larry (2007),54004,71
Interstellar (2014),109487,71
Mission: Impossible III (2006),45186,71
"Lord of the Rings: The Return of the King, The (2003)",7153,71
Pineapple Express (2008),61024,71
Battlestar Galactica (2003),27611,71
Dawn of the Dead (2004),7360,71
Die Another Day (2002),5872,71
"Beautiful Mind, A (2001)",4995,71
Thor: The Dark World (2013),106072,72
Harry Potter and the Deathly Hallows: Part 1 (2010),81834,72
Ocean's Thirteen (2007),53322,72
Inside Man (2006),44199,72
"Witches of Eastwick, The (1987)",7046,72
